RATING,TITLE,CREDIT,BOX OFFICE,YEAR
92,Dunkirk,Actor,188.1,2017
68,Free Fire,Chris,1.8,2017
65,Anthropoid,Josef Gabcík,3,2016
42,In the Heart of the Sea,Second Mate Matthew Joy,19.1,2015
20,Transcendence,Agent Buchanan,23.1,2014
36,In Time,Raymond Leon,36,2011
86,Inception,Robert Fischer Jr.,292.6,2010
94,The Dark Knight,Scarecrow,533.4,2008
76,Sunshine,Capa,3.8,2007
88,The Wind That Shakes the Barley,Damien O'Donovan,1.8,2007
79,Red Eye,Jackson Rippner,57.9,2005
84,Batman Begins,Dr. Jonathan Crane,204.2,2005
72,Girl With a Pearl Earring,Pieter,11.6,2004
86,28 Days Later,Jim,45,2003
