year,team,scored,taken
1930,Brazil,5,2
1930,Argentina,18,9
1930,Mexico,4,13
1930,France,4,3
1930,Belgium,0,4
1930,Uruguay,15,3
1934,Brazil,1,3
1934,Italy,12,3
1934,Germany,11,8
1934,Argentina,2,3
1934,Spain,4,3
1934,France,2,3
1934,Belgium,2,5
1938,Brazil,14,11
1938,Italy,11,5
1938,Germany,3,5
1938,France,4,4
1938,Belgium,1,3
1950,Brazil,22,6
1950,Italy,4,3
1950,Mexico,2,10
1950,Spain,10,12
1950,England,2,2
1950,Uruguay,15,5
1954,Brazil,8,5
1954,Italy,6,7
1954,Germany,25,14
1954,Mexico,2,8
1954,France,3,3
1954,England,8,8
1954,Belgium,5,8
1954,Uruguay,16,9
1958,Brazil,16,4
1958,Germany,12,14
1958,Argentina,5,10
1958,Mexico,1,8
1958,France,23,15
1958,England,4,5
1962,Brazil,14,5
1962,Italy,3,2
1962,Germany,4,2
1962,Argentina,2,3
1962,Mexico,3,4
1962,Spain,2,3
1962,England,5,6
1962,Uruguay,4,6
1966,Brazil,4,6
1966,Italy,2,2
1966,Germany,15,6
1966,Argentina,4,2
1966,Mexico,1,3
1966,Spain,4,5
1966,France,2,5
1966,England,11,3
1966,Uruguay,2,5
1970,Brazil,19,7
1970,Italy,10,8
1970,Germany,17,10
1970,Mexico,6,4
1970,England,4,4
1970,Belgium,4,5
1970,Uruguay,4,5
1974,Brazil,6,4
1974,Italy,5,4
1974,Germany,13,4
1974,Argentina,9,12
1974,Uruguay,1,6
1978,Brazil,10,3
1978,Italy,9,6
1978,Germany,10,5
1978,Argentina,15,4
1978,Mexico,2,12
1978,Spain,2,2
1978,France,5,5
1982,Brazil,15,6
1982,Italy,12,6
1982,Germany,12,10
1982,Argentina,8,7
1982,Spain,4,5
1982,France,16,12
1982,England,6,1
1982,Belgium,3,5
1986,Brazil,10,1
1986,Italy,5,6
1986,Germany,8,7
1986,Argentina,14,5
1986,Mexico,6,2
1986,Spain,11,4
1986,France,12,6
1986,England,7,3
1986,Belgium,12,15
1986,Uruguay,2,8
1990,Brazil,4,2
1990,Italy,10,2
1990,Germany,15,5
1990,Argentina,5,4
1990,Spain,6,4
1990,England,8,6
1990,Belgium,6,4
1990,Uruguay,2,5
1994,Brazil,11,3
1994,Italy,8,5
1994,Germany,9,7
1994,Argentina,8,6
1994,Mexico,4,4
1994,Spain,10,6
1994,Belgium,4,4
1998,Brazil,14,10
1998,Italy,8,3
1998,Germany,8,6
1998,Argentina,10,4
1998,Mexico,8,7
1998,Spain,8,4
1998,France,15,2
1998,England,7,4
1998,Belgium,3,3
2002,Brazil,18,4
2002,Italy,5,5
2002,Germany,14,3
2002,Argentina,2,2
2002,Mexico,4,4
2002,Spain,10,5
2002,France,0,3
2002,England,6,3
2002,Belgium,6,7
2002,Uruguay,4,5
2006,Brazil,10,2
2006,Italy,12,2
2006,Germany,14,6
2006,Argentina,11,3
2006,Mexico,5,5
2006,Spain,9,4
2006,France,9,3
2006,England,6,2
2010,Brazil,9,4
2010,Italy,4,5
2010,Germany,16,5
2010,Argentina,10,6
2010,Mexico,4,5
2010,Spain,8,2
2010,France,1,4
2010,England,3,5
2010,Uruguay,11,8
2014,Brazil,11,14
2014,Italy,2,3
2014,Germany,18,4
2014,Argentina,8,4
2014,Mexico,5,3
2014,Spain,4,7
2014,France,10,3
2014,England,2,4
2014,Belgium,6,3
2014,Uruguay,4,6
2018,Spain,3,3
2018,Uruguay,1,0
